id,Email,conjoint_attr1a,conjoint_attr1a_label,conjoint_attr1b,conjoint_attr1b_label,conjoint_attr2a,conjoint_attr2a_label,conjoint_attr2b,conjoint_attr2b_label,conjoint_attr3a,conjoint_attr3a_label,conjoint_attr3b,conjoint_attr3b_label
1,if@testmail.com,0,short,1,tall,2,Forward,1,Midfielder,4,Austria,1,Italy
2,da@testmail.com,0,short,1,tall,2,Forward,0,Defender,5,Switzerland,0,Spain
3,he@testmail.com,1,tall,1,tall,2,Forward,0,Defender,1,Italy,2,France
4,jj@testmail.com,0,short,1,tall,0,Defender,2,Forward,2,France,3,Germany
5,pm@testmail.com,0,short,0,short,0,Defender,1,Midfielder,2,France,1,Italy
6,lg@testmail.com,1,tall,1,tall,1,Midfielder,2,Forward,1,Italy,0,Spain
7,km@testmail.com,1,tall,1,tall,1,Midfielder,0,Defender,2,France,0,Spain
8,xu@testmail.com,0,short,0,short,1,Midfielder,0,Defender,2,France,4,Austria
9,ti@testmail.com,0,short,0,short,0,Defender,2,Forward,4,Austria,4,Austria
10,wt@testmail.com,1,tall,0,short,1,Midfielder,2,Forward,4,Austria,1,Italy
11,er@testmail.com,1,tall,1,tall,1,Midfielder,1,Midfielder,4,Austria,1,Italy
12,ri@testmail.com,1,tall,1,tall,0,Defender,0,Defender,3,Germany,2,France
13,rt@testmail.com,0,short,0,short,1,Midfielder,0,Defender,2,France,4,Austria
14,yg@testmail.com,1,tall,0,short,1,Midfielder,2,Forward,4,Austria,4,Austria
15,dl@testmail.com,0,short,0,short,0,Defender,1,Midfielder,3,Germany,5,Switzerland
16,vp@testmail.com,1,tall,0,short,0,Defender,1,Midfielder,3,Germany,2,France
17,ws@testmail.com,1,tall,0,short,1,Midfielder,1,Midfielder,5,Switzerland,5,Switzerland
18,uk@testmail.com,1,tall,1,tall,1,Midfielder,2,Forward,3,Germany,5,Switzerland
19,pl@testmail.com,1,tall,1,tall,1,Midfielder,1,Midfielder,1,Italy,1,Italy
20,gq@testmail.com,0,short,0,short,1,Midfielder,2,Forward,0,Spain,3,Germany
21,sv@testmail.com,0,short,1,tall,0,Defender,1,Midfielder,0,Spain,4,Austria
22,ju@testmail.com,0,short,1,tall,1,Midfielder,0,Defender,5,Switzerland,5,Switzerland
23,ke@testmail.com,0,short,0,short,0,Defender,2,Forward,3,Germany,0,Spain
24,vf@testmail.com,1,tall,1,tall,2,Forward,2,Forward,2,France,1,Italy
25,wc@testmail.com,0,short,1,tall,2,Forward,2,Forward,0,Spain,2,France
26,ij@testmail.com,1,tall,1,tall,0,Defender,0,Defender,5,Switzerland,0,Spain
27,pq@testmail.com,0,short,1,tall,0,Defender,0,Defender,3,Germany,5,Switzerland
28,pc@testmail.com,0,short,0,short,1,Midfielder,1,Midfielder,1,Italy,3,Germany
29,px@testmail.com,0,short,0,short,0,Defender,1,Midfielder,4,Austria,5,Switzerland
30,cq@testmail.com,1,tall,0,short,2,Forward,2,Forward,1,Italy,3,Germany
31,bu@testmail.com,1,tall,1,tall,2,Forward,2,Forward,4,Austria,1,Italy
32,tv@testmail.com,1,tall,0,short,0,Defender,1,Midfielder,4,Austria,1,Italy
33,ln@testmail.com,1,tall,1,tall,2,Forward,2,Forward,5,Switzerland,1,Italy
34,oq@testmail.com,1,tall,0,short,1,Midfielder,1,Midfielder,2,France,2,France
35,hn@testmail.com,1,tall,0,short,0,Defender,2,Forward,5,Switzerland,2,France
36,jl@testmail.com,1,tall,1,tall,0,Defender,2,Forward,0,Spain,4,Austria
37,kf@testmail.com,0,short,1,tall,1,Midfielder,2,Forward,4,Austria,5,Switzerland
38,ks@testmail.com,1,tall,0,short,1,Midfielder,0,Defender,1,Italy,2,France
39,pw@testmail.com,1,tall,0,short,0,Defender,0,Defender,0,Spain,0,Spain
40,rt@testmail.com,1,tall,1,tall,0,Defender,2,Forward,4,Austria,2,France
41,qa@testmail.com,1,tall,0,short,0,Defender,1,Midfielder,0,Spain,1,Italy
42,rh@testmail.com,0,short,1,tall,2,Forward,1,Midfielder,4,Austria,2,France
43,ib@testmail.com,0,short,1,tall,0,Defender,0,Defender,2,France,0,Spain
44,rm@testmail.com,1,tall,0,short,1,Midfielder,0,Defender,4,Austria,1,Italy
45,kf@testmail.com,0,short,0,short,1,Midfielder,1,Midfielder,4,Austria,0,Spain
46,cy@testmail.com,1,tall,1,tall,2,Forward,0,Defender,0,Spain,4,Austria
47,st@testmail.com,1,tall,1,tall,1,Midfielder,2,Forward,5,Switzerland,2,France
48,fu@testmail.com,0,short,0,short,0,Defender,1,Midfielder,1,Italy,3,Germany
49,su@testmail.com,1,tall,0,short,2,Forward,1,Midfielder,2,France,1,Italy
50,jt@testmail.com,1,tall,0,short,1,Midfielder,1,Midfielder,5,Switzerland,1,Italy
